title,price,location,date,size,price_pm,negotiable
Mieszkanie 64m2 Meander 2 min. do metra natolin sprzedaż bez pośrednik,965000,Warszawa Ursynów , 26 stycznia 2024,64 , 15078.13 ,False
Kawalerka z Aneksem Sypialnianym i z Ogrodkiem na Starych Wlochach,698000,Warszawa Włochy , 27 stycznia 2024,35 , 19942.86 ,False
Warszawa Mokotów ul. Czerniakowska,1050000,Warszawa Mokotów , 22 stycznia 2024,55 , 19090.91 ,False
Bardzo jasne słoneczne mieszkanie Metro Stokłosy.,885000,Warszawa Ursynów , 22 stycznia 2024,55.30 , 16003.62 ,False
Piękna kawalerka 36 m2 Mokotów bezpośrednio,945000,Warszawa Mokotów , 22 stycznia 2024,35.69 , 26478.01 ,False
3 pokoje 47m2 ursus z ogródkiem kameralne osiedle z całodobową ochr,830999,Warszawa Ursus , 22 stycznia 2024,48 , 17312.48 ,False
5 min- Metro Wierzbno | balkon | narożne | 2 pok.|,699999,Warszawa Mokotów , 22 stycznia 2024,38 , 18421.03 ,False
91 metrów z klimatyzacją i dużym tarasem,1990000,Warszawa Mokotów , 22 stycznia 2024,91.10 , 21844.13 ,False
Okazja! Stan deweloperski przy metrze,880000,Warszawa Ursynów , 22 stycznia 2024,44.03 , 19986.37 ,False
Przestronna kawalerka w apartamentowcu,699000,Warszawa Mokotów , 22 stycznia 2024,36.88 , 18953.36 ,False
41m2 od dewelopera gotowe ostatnie mieszkanie na Białołęce OKAZJA,477000,Warszawa Białołęka , 22 stycznia 2024,41.09 , 11608.66 ,False
2 pokoje wykończone Bemowo Metro!,689000,Warszawa Bemowo , 22 stycznia 2024,31.74 , 21707.62 ,False
Mieszkanie 2 pokojowe 38m2,630000,Warszawa Targówek , 20 stycznia 2024,38 , 16578.95 ,True
Kawalerka na sprzedaż,450000,Warszawa Włochy , 14 stycznia 2024,20 , 22500 ,True
2-pokoje z garderobą blisko Metro Ratusz Bemowo,945000,Warszawa Bemowo ,Dzisiaj,54 , 17500 ,True
Metro Imielin 60m2 3-pokojowe po remoncie,889000,Warszawa Ursynów , 22 stycznia 2024,59.60 , 14916.11 ,False
Mieszkanie Natolin Żabińskiego 6940 m2 z KW Grunt z KW,999000,Warszawa Ursynów , 22 stycznia 2024,63 , 15857.14 ,False
Dwa tarasy i ogrody wysoki standard garaż komórka,1224999,Warszawa Ursus , 22 stycznia 2024,80 , 15312.49 ,False
3 pokoje gotowe do wprowadzenia 60m do metra,1399000,Warszawa Bemowo , 22 stycznia 2024,67.58 , 20701.39 ,False
Stary Żoliborz 200m do stacji Metra Plac Wilsona.,1100000,Warszawa Żoliborz , 22 stycznia 2024,50.09 , 21960.47 ,False
Sprzedam mieszkanie 2-pokojowe,658185,Warszawa Praga Południe , 22 stycznia 2024,39.89 , 16500 ,False
NOWE pod klucz/2 pokoje/miejsce postojowe!!,699000,Warszawa Białołęka , 22 stycznia 2024,43.87 , 15933.44 ,False
NOWE pod klucz/3 pokoje/miejsce postojowe!,834675,Warszawa Białołęka , 22 stycznia 2024,53.85 , 15500 ,False
Sprzedam Wyjątkowy Apartament z własnym Garderobą,1372700,Warszawa Wola , 22 stycznia 2024,53 , 25900 ,False
Topowa lokalizacja*Metro*Duży potencjał,1090000,Warszawa Śródmieście , 22 stycznia 2024,53 , 20566.04 ,False
Rezerwacja 2 pok do remontu w zabytkowej kamienicy,525500,Warszawa Praga Północ , 10 stycznia 2024,32.19 , 16324.95 ,False
Sprzedam dwupokojowe mieszkanie Warszawa Wola Jana Kazimierza,1050000,Warszawa Wola ,Dzisiaj,45 , 23333.33 ,False
Sprzedam mieszkanie z ogrodem Saska Kępa - Gocław,1252900,Warszawa Praga Południe , 27 stycznia 2024,67 , 18700 ,True
Klimatyczne 4-pokojowe (85m) mieszkanie na Powiślu100 m. od Metra,1850000,Warszawa Śródmieście , 26 stycznia 2024,85 , 21764.71 ,False
